 MAGiC-SLAM 实验结果总结（关键帧选择阈值 α = dynamic 0.18）
 
 Keyframes : 182
 
| 类别         | 指标名称                  | 粗略合并值    | 精细优化值    | 中文说明           |
| ---------- | --------------------- | -------- | -------- | -------------- |
| **SLAM性能** | ATE (m)               | `25.941` | `39.095` | 绝对轨迹误差（越低越好）   |
|            | Completeness          | `0.847`  | `0.990`  | 地图完整性（越高越好）    |
|            | Accuracy (↓)          | `0.284`  | `0.068`  | 局部准确性（越低越好）    |
|            | Consistency (↓)       | `0.191`  | `0.004`  | 地图一致性（越低越好）    |
| **图像渲染**   | PSNR (dB)             | `25.94`  | `39.09`  | 峰值信噪比（越高越好）    |
|            | SSIM                  | `0.847`  | `0.990`  | 结构相似度（越高越好）    |
|            | LPIPS (↓)             | `0.284`  | `0.068`  | 感知相似度误差（越低越好）  |
|            | Depth L1 (cm, ↓)      | `0.1908` | `0.0043` | 深度误差（越低越好）     |
| **轨迹对齐**   | ATE RMSE (raw)        | -        | `0.5363` | 原始ATE RMSE轨迹误差 |
|            | ATE RMSE (aligned)    | -        | `0.3382` | 对齐后ATE RMSE误差  |
| **效率评估**   | Map Merge Time (s)    | -        | `90.68`  | 地图合并总耗时        |
|            | Registration Time (s) | -        | `28.36`  | 回环注册总耗时        |
| **回环数量**   | Intra-loops           | -        | `27`     | 子图内部回环数量       |
|            | Inter-loops           | -        | `0`      | 子图之间回环数量       |

